Name,Ticker,Sector
Nvidia,NVDA,Information Technology
Microsoft,MSFT,Information Technology
Apple Inc.,AAPL,Information Technology
Amazon,AMZN,Consumer Discretionary
Alphabet (Class C),GOOG,Communication Services
Meta Platforms,META,Communication Services
Broadcom,AVGO,Information Technology
Berkshire Hathaway,BRK.B,Financials
"Tesla, Inc.",TSLA,Consumer Discretionary
JPMorgan Chase,JPM,Financials
Walmart,WMT,Consumer Staples
Lilly (Eli),LLY,Health Care
Visa Inc.,V,Financials
Oracle Corporation,ORCL,Information Technology
Netflix,NFLX,Communication Services
Mastercard,MA,Financials
ExxonMobil,XOM,Energy
Costco,COST,Consumer Staples
Johnson & Johnson,JNJ,Health Care
Procter & Gamble,PG,Consumer Staples
Home Depot (The),HD,Consumer Discretionary
Bank of America,BAC,Financials
AbbVie,ABBV,Health Care
Palantir Technologies,PLTR,Information Technology
Coca-Cola Company (The),KO,Consumer Staples
Philip Morris International,PM,Consumer Staples
UnitedHealth Group,UNH,Health Care
GE Aerospace,GE,Industrials
Cisco,CSCO,Information Technology
Chevron Corporation,CVX,Energy
Wells Fargo,WFC,Financials
IBM,IBM,Information Technology
T-Mobile US,TMUS,Communication Services
Salesforce,CRM,Information Technology
Advanced Micro Devices,AMD,Information Technology
Abbott Laboratories,ABT,Health Care
Morgan Stanley,MS,Financials
American Express,AXP,Financials
Linde plc,LIN,Materials
Goldman Sachs,GS,Financials
Walt Disney Company (The),DIS,Communication Services
McDonald's,MCD,Consumer Discretionary
Merck & Co.,MRK,Health Care
Intuit,INTU,Information Technology
Texas Instruments,TXN,Information Technology
Uber,UBER,Industrials
Blackstone Inc.,BX,Financials
RTX Corporation,RTX,Industrials
ServiceNow,NOW,Information Technology
AT&T,T,Communication Services
Caterpillar Inc.,CAT,Industrials
Booking Holdings,BKNG,Consumer Discretionary
PepsiCo,PEP,Consumer Staples
Intuitive Surgical,ISRG,Health Care
Verizon,VZ,Communication Services
Accenture,ACN,Information Technology
Qualcomm,QCOM,Information Technology
Boeing,BA,Industrials
BlackRock,BLK,Financials
Charles Schwab Corporation,SCHW,Financials
Thermo Fisher Scientific,TMO,Health Care
Citigroup,C,Financials
S&P Global,SPGI,Financials
Applied Materials,AMAT,Information Technology
Amgen,AMGN,Health Care
Adobe Inc.,ADBE,Information Technology
NextEra Energy,NEE,Utilities
Boston Scientific,BSX,Health Care
Honeywell,HON,Industrials
Stryker Corporation,SYK,Health Care
GE Vernova,GEV,Industrials
Danaher Corporation,DHR,Health Care
Pfizer,PFE,Health Care
Spotify,SPOT,Communication Services
Progressive Corporation,PGR,Financials
Eaton Corporation,ETN,Industrials
Capital One,COF,Financials
Union Pacific Corporation,UNP,Industrials
Micron Technology,MU,Information Technology
Deere & Company,DE,Industrials
TJX Companies,TJX,Consumer Discretionary
Gilead Sciences,GILD,Health Care
Arista Networks,ANET,Information Technology
Comcast,CMCSA,Communication Services
KKR & Co. Inc.,KKR,Financials
Lam Research,LRCX,Information Technology
